,Score,Tweets
10,0.20833333333333334,Anybody interested in making an extra 1-2k a month? HMU with any questions or concerns you have about trading #stocks #investor #trader #swingtrading #daytrading #rich #money #cashflow #MoneyTeam #tesla #disney #acb $ACB $DIS #robinhood #traders $SQ $CGC $CRON $MA $V $PYPL #paid
11,0.23611111111111113,My clients stay winning. Another 200+ day for my buddy I’ve been training for less then 2 months #stocks #investor #trader #swingtrading #daytrading #rich #money #cashflow #MoneyTeam #tesla #disney #acb $ACB $DIS #robinhood #traders $SQ $CGC $CRON $MA $V $PYPL #paid #winpic.twitter.com/wJySpuLRLC
12,0.09375,With me there is never a losing trade. You either make a lot of money or lose a little and learn a valuable lesson #stocks #investor #trader #swingtrading #daytrading #rich #money #cashflow #MoneyTeam #tesla #disney #acb $ACB $DIS #robinhood #traders $SQ $CGC $CRON $MA $V $PYPL
13,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/np9S30oEe8g It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
14,0.0,https://bit.ly/2MBW6tM < Who is Kyle Dennis ?? $GILD $QCOM $F $PYPL
15,0.05,$PYPL is Bullish above $110.29. Trade near $110.29 http://tradespoon.com/s.php?t=$PYPL pic.twitter.com/WCiTtEJtfv
16,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/aUJ730oBIWI It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
17,0.0,Traders Sell Paypal $PYPL on Strength Following Insider Selling http://zolmax.com/?p=3069698
18,0.0,The future of payments will all be done through smartphones via apps like $PYPL Venmo and $SQ Cash App . In 20 years cash and credit cards won’t exist
19,0.0,"Had a chance to talk with @NPetallides on @TDANetwork where we discuss the #markets, #economy and opportunities in #fintech. You can catch me on the at the 15:35 mark. $SQ $PYPL $INTUhttps://www.pscp.tv/w/b5yPwTFXZ0tnYVZsRG5BRXZ8MVlwS2t2YVh2Tnl4ahQZm4UbD2ZjuK0064oL1cj5E5i9o43rInjR2ATbGGKH?t=15m55s …"
20,-0.11749999999999998,"Square $SQ settled -8.0% at $67.74, with the market annoyed at 'light guidance'. Little sign of a floor, I'd lean s/t bearish to the 65/64s. I really like the company/service, but this is one crazy valuation. The conservative will lean to $PYPL @OpenRoadSW7pic.twitter.com/pmYTagKYq9"
21,0.2,"IBD Big Cap 20 Ranked May 2, 2019 1. $VEEV $FTNT $PANW $SSNC $INCY $NOW $CDNS $KLAC $MCHP $XLNX $TWTR $AMZN $CRM $SPLK $PYPL $CPRT $INTU $RCL $FLT 20. $AVGO Confirmed Uptrend @IBDinvestors"
22,0.0,"but its basically using stable coin as a workaround for fees charged by $PYPL, $V and banks ..."
23,0.0,$FB $FDC $MA $PYPL $V: Facebook Building Cryptocurrency-Based Payments System: https://www.StockNewsWires.com/fb-fdc-ma-pypl-v-facebook-building-cryptocurrency-based-payments-system/ …
24,0.22777777777777777,"$FB is a beast … what does this do to $SQ, $SHOP, $PYPL? Never seriously considered my $FB position in this light; pays to own the top dogs. I imagine $AMZN and $GOOG wont be far behind"
25,0.1481818181818182,Paypal $PYPL Sets New 12-Month High at $113.69 http://dispatchtribunal.com/?p=2742435
26,0.2,"IBD Big Cap 20 Ranked May 1, 2019 1. $VEEV $FTNT $PANW $SSNC $NOW $CDNS $KLAC $MCHP $RCL $ANSS $AMZN $INCY $CRM $SPLK $PYPL $ADBE $MSCI $CPRT $MA 20. $INTU Confirmed Uptrend @IBDinvestors"
27,0.0,$SHOP $WIX $PAYC $PAYX $XSW $XLK $WK $TWLO (dropped prior to Powell's) $PYPL $SBUX $IPHI $SPY $KEYW $KLAC $BAND $...https://stocktwits.com/cybercash28/message/162642255 …
28,0.0,VIDEO: What is a Bullish Engulfing and Bearish Engulfing Candle Pattern #youtube #video #finance #stocks #swingtrading $BAC $JPM $GS $C $SQ $PYPL $V $MAhttp://bit.ly/2EGZfHV
29,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/W5CT30oz0T4 It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
30,0.0,$BAC $PBR $GE $AAPL $MRVL $GE $FB $PYPL $COTY $JD $DIS $APC $PG Highest volume strikespic.twitter.com/1t7Ssv8pxz
31,-0.1,"$PYPL PayPal Holdings, Inc. SEC Filing: Form 4 http://www.sec.gov/Archives/edgar/data/1547433/000163391719000122/xslF345X03/edgardoc.xml …"
32,0.5,"$PYPL PayPal Holdings (PYPL, $112.44) was the market's top weekly gainer, with a +5% jump http://web.25.teamcity3.tickerontest.com?eventid=12936web.25.teamcity3.tickerontest.com/?eventid=12936"
33,0.3,"$XLK $PYPL: Rainey John D exercised options worth $184,616 and disposed stocks worth $1,514,131 http://www.edgarpulse.com/form4-insider-summary.php?form4=2749465 …"
34,0.3,"$SPY $PYPL: Rainey John D exercised options worth $184,616 and disposed stocks worth $1,514,131 http://www.edgarpulse.com/form4-insider-summary.php?form4=2749465 …"
35,0.0,Must read if you're a shareholder like me! $pypl https://twitter.com/FoolMCochrane/status/1122918561213747200 …
36,-0.0625,"@PayPal is investing $500 million in @Uber. Why? For one, $PYPL is already Uber’s leading payment provider in the US/Canada but an equity stake will give them the clout to ask for a closer relationship outside North America. We share other reasons here: http://datatrekresearch.com/paypal-takes-an-uber-but-to-where/ …pic.twitter.com/IW4c6ySV9f"
37,0.2,"IBD Big Cap 20 Ranked April 29, 2019 1. $VEEV $FTNT $PANW $SSNC $NOW $KLAC $MA $MCHP $GOOGL $TWLO $TWTR $AMZN $ANET $CRM $SPLK $PYPL $CDNS $ADBE $INTU 20. $FLT Confirmed Uptrend @IBDinvestors"
38,0.25,"http://42stocks.com/2019/04/29/notable-gains-paypal-holdings-inc-nasdaqpypl-5/ … $PYPL PayPal #PayPal up 1.7% = $2.2 billion gain. $PYPL has made notable gains in 9 of the last 17 trading sessions, 4 days consecutively from Apr 05-10. #stockmarket #stocks #trading #market #investing"
39,0.0,Scan results - MACD Bullish Signal Line Cross today: $GDI $IR $TXRH $SNY $FLWS $HAE $CVA $OMCL $HST $THS $PEN $V $EVBG $LSXMA $KRNT $ALSN $PYPL $BAK $DISH $KFY ...https://swingtradebot.com/events/64-macd-bullish-signal-line-cross/equities?selected_date=2019-04-29 …
40,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/M1Wq30oxH56 It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
41,0.25,Next week going to flirt with the idea of selling my shares in $EDU and $HDB and buying more $PYPL
42,0.4755208333333333,$PYPL trade out the gate of the opening bell with a quick $700 profit!! Want to learn and earn hit me up! #teacher #learning #success #workhard #wallstreet #hustle #stockmarket #daytrader #entrepreneurship https://www.instagram.com/p/Bwu6fbcAA3I/?igshid=jwjgo9yg1xl4 …
43,0.15,$PYPL Got to close in green :)
44,0.0,"Fri (4/26/19) trading range % > 98% (Min $5, Vol > 750K, Opt Vol in any strike > 500): $BCS $JWN $SIG $STM $SYF $KMB $CAT $CZR $HEXO $VOD $WMB $VALE $BRK.B $TEVA $PYPL $DE $ADBE $AMZN $CWH $ABT $AGN $PG $ALGN $EAT $GS $NTNX $TV $EMR $DISCA $CNC $HON $MCHP $INTU $SIVB $UNP $ZAYOpic.twitter.com/vvsqWdQCeR"
45,0.0,"“Sell-Side Hikes PayPal Price Targets, Likes Venmo Growth” $EBAY $MELI $PYPL via @benzingahttps://www.benzinga.com/analyst-ratings/analyst-color/19/04/13599231/sell-side-hikes-paypal-price-targets-likes-venmo-growth …"
46,0.0,Paypal $PYPL Updates Q2 2019 Earnings Guidance http://zpr.io/g8qMz
47,0.0,#eBay Calms #Investors With a Beat and Raise @themotleyfool #earnings #ecommerce #stocks $EBAY $PYPL $ADYYFhttps://www.fool.com/investing/2019/04/25/ebay-calms-investors-with-a-beat-and-raise.aspx …
48,0.0,"PayPal +1.9% as analysts digest results, outlook https://seekingalpha.com/news/3454300?source=ansh … $PYPL"
49,0.2,"IBD Big Cap 20 Ranked April 25, 2019 1. $VEEV $FTNT $PANW $ANET $SSNC $NOW $KLAC $MA $GOOGL $MCHP $XLNX $AMZN $SPLK $CDNS $PYPL $ADBE $INTC $INTU $ALXN 20. $AVGO Confirmed Uptrend @IBDinvestors"
50,0.0,Day Traders Must Read Before Invest: PayPal Holdings Inc (NASDAQ: PYPL) http://alphabetastock.com/2018/03/13/day-traders-must-read-before-invest-paypal-holdings-inc-nasdaq-pypl/ … $PYPL #stocks #stockmarket
51,0.4,"$PYPL PayPal Earnings Tops Views, Stock Falls As Transaction Growth Light http://www.cmlviz.com/article/PYPL/ibdlink-2019-4-24-paypal-earnings-tops-views-stock-falls-as-transaction-growth-light.html …"
52,-0.13333333333333333,$PYPL PayPal's Venmo now has 40 million active accounts http://www.cmlviz.com/article/PYPL/zdnet-2019-4-24-paypals-venmo-now-has-40-million-active-accounts.html …
53,0.6,$FSNN $FB $LRCX $MSFT $PIR $CRCM $AMZN $TEAM $TWTR $GOOGL $ABBV $GOOG $OXY $PFE $DPZ $NFLX $BMY $LUV $F $BIDU $AAPL $PYPL $CMG Popular Stocks: Bull (After Hours) https://bullbearcharts.blogspot.com/2019/04/popular-stocks-bull-after-hours_24.html …
54,0.0,"PayPal $PYPL Tops Q1 EPS by 10c, Updates FY Guidance https://www.streetinsider.com/dr/news.php?id=15402580 …"
55,-0.03333333333333333,"$SQ settled -0.2% at $72.45. Recent price action is messy chop, leaning on the weaker side. The cautious will favour $PYPL yours,, a client of both. pic.twitter.com/dLkTavJQdG"
56,0.4000000000000001,6 ETFs To Trade For This Huge #Earnings Week https://aff.whotrades.com/t/b/9ppmz/ $AMZN $CMCSA $EBAY $XOM $SBUX $HA $JBLU $STLD $T $NUE $BA $V $LUV $GD $CVX $VZ $CLF $ALK $F $FB $AAL $VDE $SLX $XLY $JETS $IPAY $PYPL $XLCpic.twitter.com/eHJR9YR9oc
57,0.2,"IBD Big Cap 20 Ranked April 23, 2019 1. $NOW $ANET $FTNT $SSNC $KLAC $MA $MCHP $CMSCA $ALXN $XLNX $TWLO $PANW $AMZN $SPLK $CDNS $ADBE $V $PYPL $INTC 20. $GOOGL Confirmed Uptrend @IBDinvestors"
58,-0.25,Not sure what to do with $PYPL? Explore our #fundamental pros and cons.https://unicornbay.com/t/PYPL.US?utm_medium=tweet&utm_campaign=notsureproscons&utm_source=twitter …
59,0.1,$SQ revenue growth is higher than all US based fintech firms. I'm long $PYPL and $SQ
60,0.3145833333333333,My Super Bowl of earnings is Wednesday for most of my top stocks. $xlnx $cmg $lrcx $ba $cat $fslr $algn $dpz $fb $msft $now $wynn $pypl $orly - that is quite a list! $amzn - thurs and a few others.
61,-0.1,$PYPL not really my type of trade but anything below the 21 ema would merit consideration. pic.twitter.com/V9cRoev0v1
62,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/Dbz730ouKSK It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
63,0.0,"4/22, 1Q19 M— $HAL $GWW $CDNS, Tesla FSD Tu— $TWTR $PG $UTX $LMT $SNAP $AMTD $EBAY $TXN $SIX $CP W— $BA $BIIB $T $CAT $NOC $GD $STM $DPZ $TSLA $FB $MSFT $PYPL $V $XLNX $LRCX Th— $UPS $NOK $BMY $MMM $ABBV $BMY $AMZN $INTC $F $SBUX F— $AAL $CVX $SNE $ADM $CP $GT $AZN; Q1 GDP 8:30https://twitter.com/eWhispers/status/1119632835860680710 …"
64,0.0,"Scan results - 1,2,3 Pullback Bullish today: $G $BMS $XRX $OXLC $CSL $IEX $ORLY $CRI $HE $MTG $ABR $CDNS $MKC $PYPL $QRVO $NVRO $TROX $JEC $MAS $OLLI ...https://swingtradebot.com/events/35-1-2-3-pullback-bullish/equities?selected_date=2019-04-22 …"
65,0.29833333333333334,"$SQ fell for a fifth consecutive day, settling -2.8% to $70.74, notably breaking under the March lows. A fine company, but the valuation remains ludicrous. Superior alt: $PYPL (earnings due next Wed'), which will affect Square. @B_miga88pic.twitter.com/qC0mUMaRwd"
66,0.05,$PYPL is Bullish above $105.63. Trade near $105.63 http://tradespoon.com/s.php?t=$PYPL pic.twitter.com/8ohOojICjP
67,0.2,"IBD Big Cap 20 Ranked April 18, 2019 1. $NOW $PANW $ANET $FTNT $SSNC $KLAC $CMSCA $MCHP $XLNX $TWLO $SPLK $CDNS $MA $V $PYPL $INTC $GOOGL $INTU $ALXN 20. $AVGO Confirmed Uptrend @IBDinvestors"
68,0.0,Al pobre le dió un infarto y la diñó $pypl https://twitter.com/Fact/status/1118999648688070656 …
69,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/Lvo930ot4h6 It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
70,0.0,PayPal Stock Rises Despite Mixed Views From Wall Street https://www.barrons.com/articles/paypal-stock-rises-despite-mixed-views-from-wall-street-51555531989 … via @BarronsOnline #Apr17th $PYPL
71,0.0,"Wed (4/17/19) trading range % > 90% (Min $5, Vol > 750K, Opt Vol in any strike > 500): $FOXA $PPC $LYFT $CNQ $PEP $PYPL $HEXO $RUN $URBN $VFF $MDR $NTNX $EVRI $AAPL $MSFT $CME $I $CVE $NBEV $FIVE $VFC $GS $KEY $XPO $CMCSA $WBA $SCHW $AABA $JPMpic.twitter.com/W7lWt6xnli"
72,0.0,$PYPL PayPal Stock Rises Despite Mixed Views From Wall Street http://www.cmlviz.com/article/PYPL/barrons-2019-4-17-paypal-stock-rises-despite-mixed-views-from-wall-street.html …
73,1.0,Could the... DOW still form a *perfect* H/S? $aapl $fb $tsla $c $amzn $nflx $googl $dia $indu $qqq $ndx $iwm $eem $jpm $wfc $ms $btc $gld $slv $vix $tvix $cron $cgc $tlry $nke $crm $acb $nvda $mu $msft $pypl $ba $tlt $eth $t $lulu $ibm $eth $bmo $ma $gs $dis $ibm $wfc $eth $c $vpic.twitter.com/IUsH0s39CL
74,-0.16666666666666666,Odd that $PYPL is printing T&S that is not reflected in the candles. They printed 108.26 at 4:23 but the candles do not reflect it.
75,0.03428571428571429,"$SQ cooled for a third day, settling -1.2% to $73.49, just above the 200dma. Price action remains tight, and is arguably just consolidation-chop, before another lurch higher. I would still favour $PYPL , yours... a client of both. @B_miga88pic.twitter.com/7M5uB6Vrvj"
76,0.2,"IBD Big Cap 20 Ranked April 16, 2019 1. $NOW $PANW $FTNT $SSNC $ANET $KLAC $MCHP $CMSCA $ALXN $XLNX $TWLO $VEEV $SPLK $CDNS $MA $PYPL $V $GOOGL $INTU 20. $AVGO Confirmed Uptrend @IBDinvestors"
77,1.0,$QCOM $CSCO $WDAY $MRVL $MRK $AMD $CI $NTES $AAPL $PYPL $WFC $QRVO $WP $GPS $MU $PBR $TSLA $INTC $FB $C $OXY Today's AMAZING algo-based options alerts on BlackBoxStocks!!! #optionstrading #daytrading #optionspic.twitter.com/jTNPTO6hdn
78,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/NXXq30oqAxT It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
79,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/gliX30oqAD6 It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
80,-0.04861111111111112,$AKAO DOWN 67%! Shorts using tiny sells 2 manipulate. Wont work. 341k BUY EARLIER! $LOW $TWTR $LLY $ABMD $RHT $MCD $TTWO $UTX $CL $DWDP $PEP $PYPL $CELG $COST $TE $MMM $ETE $SLB $ASML $PNC $CVS $BABA $MGM $LVS $CHK $ACB $HMNY $SQ $VALE $TE $PSSI $JD $BZUN $TSM $HD $FNMA $DRYShttps://twitter.com/EquityFeedAlert/status/1117831532067028992 …
81,0.14777777777777779,$AKAO DOWN 68%! Shorts using tiny sells 2 manipulate in AFTERHOURS. FREE MONEY! 2 EASY $LOW $TWTR $LLY $ABMD $RHT $MCD $TTWO $UTX $CL $DWDP $PEP $PYPL $CELG $COST $TE $MMM $ETE $SLB $ASML $PNC $CVS $BABA $MGM $LVS $CHK $ACB $HMNY $SQ $VALE $TE $PSSI $JD $BZUN $TSM $HD $FNMA $DRYSpic.twitter.com/m9cekmIoTM
82,0.0066137566137565995,$AKAO DOWN 65%! Smart money buying EVERYTHING up in AFTERHOURS .21 break in 30 minutes $LOW $TWTR $LLY $ABMD $RHT $MCD $TTWO $UTX $CL $DWDP $PEP $PYPL $CELG $COST $TE $MMM $ETE $SLB $ASML $PNC $CVS $BABA $MGM $LVS $CHK $ACB $HMNY $SQ $VALE $TE $PSSI $JD $BZUN $TSM $HD $FNMA $DRYShttps://twitter.com/saar_eldar/status/1117917610203422720 …
83,-0.06481481481481483,$AKAO DOWN 67%! Shorts using tiny sells 2 manipulate in AFTERHOURS not fooling anyone $LOW $TWTR $LLY $ABMD $RHT $MCD $TTWO $UTX $CL $DWDP $PEP $PYPL $CELG $COST $TE $MMM $ETE $SLB $ASML $PNC $CVS $BABA $MGM $LVS $CHK $ACB $HMNY $SQ $VALE $TE $PSSI $JD $BZUN $TSM $HD $FNMA $DRYSpic.twitter.com/Gu7EkGJUdf
84,0.1481818181818182,Paypal $PYPL Hits New 12-Month High at $109.00 http://tickerreport.com/?p=4295246
85,-0.4125,Jim Cramer Mad Money Lightning Round @jimcramer @madmoneyoncnbc https://cnb.cx/2KvfQ6g $SQ $PYPL $ABBV $CSX $DWDP $PM $CBT $GBX $LCII $BG
86,0.15,"$SQ $PYPL $COG $PM $BG: Cramer’s lightning round: I like PayPal more, but this fintech stock is O.K.: https://www.StockNewsWires.com/sq-pypl-cog-pm-bg-cramers-lightning-round-i-like-paypal-more-but-this-fintech-stock-is-o-k/ …"
87,0.18,"I sold calls against my $PYPL position and will likely be exiting at $100 on Friday. Longtime shareholder with mixed feelings, but comfortable letting go. I will reallocate mostly to $SQ - smaller, faster growing company with (perhaps) more room to run."
88,0.4333333333333333,"$XLF $SPY $DJIA $QQQ $IWM Strong banks, strong market. $JPM $BAC $MS $C $JPM $GS $V $MA $PYPL pic.twitter.com/nZzDmTeSAn"
89,-0.11875,"Stocks up a little, trend is UP. Fully invested without any hedges. Long $ALGN $AMZN $BABA $BZUN $DOCU $FB $FTCH $HDB $HUYA $IQ $LYFT $MELI $NFLX $NOW $PYPL $SHOP $SQ $STNE $TCEHY $TME $WB 1833 HK #ES_F"
90,0.06666666666666667,"$EBAY probably up,imo. $AMD $SPY $ETSY $PYPL Ebay isn't going anywhere, unless your inner 'trader' instinct suddenly goes away But you're still trading stocks--so I doubt it Ebay is the 'internet' bedrock foundation of: ""I really miss my childhood stuff"" Toys R Us 2.0 <\3 pic.twitter.com/tTSic8uz49"
91,0.11249999999999999,"$SQ settled +1.0% to $75.50. Like many stocks, price action since late Jan' has been increasingly choppy. I'd see it as consolidation. Cyclically due another up wave. Superior alt' $PYPL pic.twitter.com/0GS96FQutw"
92,0.2,"IBD Big Cap 20 Ranked April 11, 2019 1. $NOW $PANW $SSNC $FTNT $ANET $INTU $CMSCA $MCHP $ALXN $KEYS $XLNX $TWLO $VEEV $INCY $SPLK $CCI $CDNS $MA $KLAC 20. $PYPL Confirmed Uptrend @IBDinvestors"
93,-0.4,Which one is worse for deplatforming? $PYPL $SQ
94,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/WgfI30onXCC It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
95,0.0,"Upper Crust_Crednology Holding $COHO To Be Scooped Up In All Cash Transaction By Unnamed Nasdaq Traded Company, Official PR Coming As Soon As Tuesday https://rumormurmursbuzz.blogspot.com/2019/04/upper-crustcrednology-holding-coho-to.html … $SKYF $PZOO $P $EAPH $PE $SN $BYSD $DIS $PYPL $UAL $HBI $CELG $GME $CLDX"
96,0.13636363636363635,$PYPL sheesh. New all time highs yet again pic.twitter.com/XvFjhiFA6D
97,0.26666666666666666,"Square $SQ settled +0.2% at $74.74, but that made for a black candle, and leans s/t bearishs. Support 200dma 73s. Superior alt: $PYPL @LFS1226pic.twitter.com/1mBlMWeSSN"
98,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/NGcz30onXv8 It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
99,0.0,$PYPL lento y seguro pic.twitter.com/RshSr14hIR
100,0.24305555555555555,Some major leaders I want more of when we get a decent pullback on the Weekly charts: $MA $AAPL $PYPL $MKTX $ULTA $CMG $VEEV #TopShelf
101,0.2,"IBD Big Cap 20 Ranked April 9, 2019 1. $NOW $PANW $SSNC $ANET $ADBE $MA $KLAC $INTU $MCHP $CMSCA $ALXN $KEYS $XLNX $TWLO $VEEV $INCY $SPLK $CCI $CDNS 20. $PYPL Confirmed Uptrend @IBDinvestors"
102,0.225,"Hindsight is 20/20, but to think I didn’t long $PYPL after I got my Venmo transaction history at the end of 2015 is mind-boggling"
103,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/Y4m430omraY It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
104,0.0,"Option-trading opportunities on $DAL, $PYPL, $ROKU, $SNE and $SYMC http://crweworld.com/symbol/PYPL"
105,0.6,$PYPL nice move target at 109.44 pic.twitter.com/4078DU4P6T
106,0.2,"IBD Big Cap 20 Ranked April 8, 2019 1. $NOW $INCY $PANW $SSNC $ANET $KLAC $INTU $MCHP $CMSCA $ALXN $KEYS $XLNX $TWLO $VEEV $SPLK $CCI $CDNS $adobe $MA 20. $PYPL Confirmed Uptrend @IBDinvestors"
107,0.08240740740740742,"IBD Big Picture @IBDinvestors April 8, 2019 Nasdaq S&P Reverse Higher Current outlook Confirmed Uptrend Distribution days 5 S&P 3 on Nasdaq Leaders up in Volume $STNE StoneCo $PYPL Pay Pal Leaders Down in Volume $SPR Spirit Aero Systems $BA Boeing $RNG Ring Central"
108,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/jHhy30omr7s It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
109,0.1481818181818182,Scan results - New 52 Week Closing High today: $VSM $PHAS $MRNA $DNLI $INSM $AWI $IRDM $PWR $PYPL $SAFM $IONS $VSAT $AQN $HCC $PUMP $CDW $ABR $OSW $GNFT $FORM ...https://swingtradebot.com/events/68-new-52-week-closing-high/equities?selected_date=2019-04-08 …
110,0.0,Investors Sell Shares of Paypal $PYPL on Strength $PYPL http://zpr.io/gK9ph
111,0.35,Bought $PYPL at $76. Wish I would have bought more thanks for the link
112,0.375,The #SectorSelector is available; the full version for premium @Market_Scholars found at https://www.marketscholars.com/category/sector-selector/ … #FinalFour #WreckEm $V $PG $CSCO $MA $NVS $MRK $ORCL $CMCSA $MCD $ABT $BBL $PYPL $AVGO $ACN $TMO $COST $INTU $XLK $XLRE $XLI $XLU $XLB $XLY $XLV $XLP $XLC $XLE $XLFpic.twitter.com/xAap0JeHOJ
113,0.0,$pypl https://twitter.com/Alphaholic1/status/1114268604806119426 …
114,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/BGAu30ojL8o It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
115,0.5,3. Buy more $pypl
116,0.0,$SNAP $PYPL #venmo #intgeration Snap Kit: Build With Snapchat | Snap Partner Summit 2019https://www.youtube.com/watch?v=a7sfJ8ei25o …
117,0.4375,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days: http://ow.ly/qGIH30ojL1f It's FREE! No Credit Card Required! $TLRY $CGC $PYPL $WMT
118,0.0,$PYPL Option Order Flow Sentiment is 60.4% Bullish. https://marketchameleon.com/Overview/PYPL/OptionOrderSentiment/ …
119,0.0,"Scan results - 1,2,3 Pullback Bullish today: $TCDA $CNI $ZGNX $HTHT $SMAR $MASI $NVS $PHAS $PUMP $EEFT $PYPL $SJR $EVRI $WM $DOMO $IART $OFC $WAT $MELI $HDB ...https://swingtradebot.com/events/35-1-2-3-pullback-bullish/equities?selected_date=2019-04-04 …"
120,-0.3,$PYPL inside day to bearish engulfing. Negative divergence pic.twitter.com/1dqq6u2lXD
121,0.165,"IBD Big Cap 20 Ranked April 3, 2019 1. $NOW $PANW $INCY $SSNC $ANET $ADBE $KLAC $CMSCA $MCHP $ALXN $KEYS $XLNX $TWLO $SPLK $CCI $CRM $CDNS $MA $REGN 20. $PYPL S&P 500 climbs above March 21 high as most leading stocks regain upward momentum @IBDinvestors"
122,0.5,Even more insider selling $pypl https://twitter.com/EdgarPulse/status/1113565070473277442 …
123,0.0,$PYPL insider selling https://twitter.com/EdgarPulse/status/1113565072016670723 …
124,0.3,"$XLK $PYPL: Rainey John D (CFO) disposed stocks worth $878,493 http://www.edgarpulse.com/form4-insider-summary.php?form4=2741789 …"
125,0.25,$PYPL PayPal Targets Identity Ownership With Its First Blockchain Investment via @forbeshttp://www.forbes.com/sites/michaeldelcastillo/2019/04/02/paypal-targets-identity-ownership-with-its-first-blockchain-investment/ …
126,0.0,$PYPL PayPal valuation: $124 Billion pic.twitter.com/JtTFZNHVHO
127,0.0,Traders Buy Shares of Paypal $PYPL on Weakness http://baseballnewssource.com/?p=3327014
